f2fh26b,When were you most recently released from incarceration?-Year,numeric int,1,1985 and earlier,-1 -1 Refuse -12 Still in prison -2 -2 Don't know -3 -3 Missing -4 -4 Multiple ans -5 -5 Not asked -6 -6 Skip -7 -7 N/A -8 -8 Out of range -9 -9 Not in wave
f3c21d_7,What action taken: sent to prison?,numeric byte,1,1 Yes 2 No,-1 Refuse -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f3c38c_7,What action taken: sent to prison?,numeric byte,1,1 Yes 2 No,-1 Refuse -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f3c42d2,When did mother go to jail/prison? year,numeric int,1,,-1 Refuse -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f3c42e2,When will mother be released from jail/prison? year,numeric int,1,,-1 Refuse -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f3k7,Why aren't you looking for a regular job?,numeric byte,1,1 Own business 10 Other 101 Transportation 102 Back to school 103 Pregnant/had baby 2 Have job 3 In school 4 Disabled 5 No need 6 Personal 7 No work 8 In jail/prison 9 Homemaker,-1 Refuse -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f5b17d_7,B17D_7 Sent father to prison or jail,numeric float,1,0 no 1 yes,-1 Refuse -10 Not applicable -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f5b28x1,B28X1 Unit: Length of time she spent in jail/prison,numeric byte,1,1 year(s) 2 month(s) 3 week(s) 4 day(s),-1 Refuse -10 Not applicable -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f5b28x,B28X Length of time she spent in jail/prison,numeric int,1,,-1 Refuse -10 Not applicable -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f5b29x1,B29X1 Month mother went to jail/prison,numeric byte,1,1 Jan 10 Oct 11 Nov 12 Dec 2 Feb 3 Mar 4 Apr 5 May 6 Jun 7 Jul 8 Aug 9 Sep,-1 Refuse -10 Not applicable -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f5b29x2,B29X2 Year mother went to jail/prison,numeric int,1,,-1 Refuse -10 Not applicable -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
f5b30x1,B30X1 Month mother will be released from jail/prison,numeric byte,1,1 Jan 10 Oct 11 Nov 12 Dec 2 Feb 3 Mar 4 Apr 5 May 6 Jun 7 Jul 8 Aug 9 Sep,-1 Refuse -10 Not applicable -2 Don't know -3 Missing -4 Multiple ans -5 Not asked -6 Skip -7 N/A -8 Out of range -9 Not in wave
